"","gene_id_all","niche","effect_median","effect_lower","effect_upper","OR_median","OR_lower","OR_upper","prob_median","prob_lower","prob_upper"
"96","AP026508.1_104","nichewildlife",-0.0732460375,-0.721739291725,0.4827042631,0.929372141522072,0.485906387972606,1.62045060741576,0.0178324703475179,0.00920928144101534,0.0306808204296222
"97","CP057748.1_80","nicheBacteria",-0.076388064635,-0.9215990885,0.551679018959999,0.926456611748756,0.397882283249161,1.73616562941775,0.0801107617606527,0.0355828121633804,0.14281682588033
"98","NZ_CP019353.1_215","nichewastewater",-0.081288944135,-0.50544997625,0.317087612775,0.921927267524221,0.603234073341135,1.37312286976375,0.0833782043588564,0.0557581586533937,0.120610117154922
"99","NZ_CP019353.1_215","nichedomesticatedanimal",-0.090022103,-0.840391769275,0.479107611425,0.913910984928006,0.431541425903815,1.61463287922985,0.0824764885697173,0.0401335418261485,0.140120898077125
"100","NZ_CP139811.1_48","nichefood",-0.091259919,-0.6487152245,0.370630658975,0.912780431087987,0.522716920044003,1.44864792991943,0.0586872363270428,0.0340240633991136,0.0912283588345929
"101","AP019386.1_110","nichewildlife",-0.092260457,-0.753318353615,0.571174812565,0.911867616309579,0.470801671354471,1.77034565480686,0.0129088431502879,0.00640300289102031,0.0246990434160674
"102","NC_010870.1_119","nichedomesticatedanimal",-0.0964778275,-0.83027608255,0.453740753075,0.908030030744112,0.435928917339296,1.57418984070347,0.0942520105042512,0.0472073681892069,0.155402552793603
"103","NZ_CP053772.1_89","nicheBacteria",-0.099182573,-1.19597350185,0.632905717375,0.905577359005627,0.302409414772316,1.88307431993198,0.0373195030182817,0.0127250464615736,0.0767735096276171
"104","NZ_CP142966.1_27","nicheBacteria",-0.1037821945,-1.36031782425,0.6278871745,0.901421610628425,0.256579217061264,1.8736477043244,0.0201007514468707,0.00578609914019012,0.0426539156476096
"105","AM261282.1_29","nichedomesticatedanimal",-0.103932415,-1.12954745125,0.556586826174999,0.901286208971783,0.323179477805963,1.74470734218719,0.0252586628807563,0.00915695293887669,0.0501964346121474
"106","NZ_CP146544.1_32","nichedomesticatedanimal",-0.104861826,-1.492564923025,0.6734404575,0.900448932697365,0.224795332879885,1.96097237089466,0.0224983919974975,0.00576541024035248,0.0501388579279504
"107","NZ_CP142966.1_27","nicheenvironmental",-0.118406096,-0.746727541475,0.4261626115,0.888335230230887,0.47391488630211,1.53136977345965,0.0200513801282265,0.0107412280587304,0.0338598966840679
"108","NZ_AP027706.1_49","nichedomesticatedanimal",-0.1202893505,-1.098819095,0.518348575,0.886663843041275,0.333264416023626,1.67925219955841,0.0308630453887325,0.0116202127764507,0.058798724007383
"109","NZ_CP142966.1_27","nichewastewater",-0.13864157855,-0.81290113475,0.438853085999999,0.870539993051708,0.443569343378095,1.55092741914973,0.0197007167079211,0.00992907030842885,0.0346226576282673
"110","NZ_OP290545.1_1","nicheBacteria",-0.1481319545,-1.18192655695,0.4546375224,0.862317320788018,0.306687318496888,1.57560215904706,0.060379165329399,0.0225262464320146,0.107970078047408
"111","NZ_CP049291.1_137","nichedomesticatedanimal",-0.148925064,-1.01409164215,0.400971862175,0.861633679881428,0.362731771782201,1.49327525086037,0.0700573033376464,0.0304160938263576,0.118848560593516
"112","OV141395.1_159","nichedomesticatedanimal",-0.1505227415,-1.1222495925,0.437378897,0.860258166604883,0.325546623228434,1.54864274213998,0.0412990758841596,0.0156791140978675,0.0746200117099046
"113","NZ_OP290545.1_1","nichewastewater",-0.15089156,-0.628124223,0.270430985,0.859940945599505,0.533591762347654,1.31052914753395,0.0604433188129258,0.0379328163362895,0.090228798438637
"114","CP034325.1_174","nicheBacteria",-0.152902683,-1.3778148675,0.4859158845,0.858213237042306,0.25212888765975,1.62566324698355,0.0299745930900902,0.00901363900991614,0.0580470329030757
"115","NZ_MN732922.1_254","nichedomesticatedanimal",-0.157130688,-1.472566488,0.587105214725,0.854592366573935,0.22933614138988,1.79877380793676,0.0121774193689628,0.00328161250879361,0.0269555765642928
"116","CP034325.1_175","nicheBacteria",-0.1576305375,-1.3895632915,0.471594872725,0.854165305745058,0.249184101814868,1.60254801658524,0.033445917611017,0.0100890873412408,0.0635057277718088
"117","CP034325.1_174","nichedomesticatedanimal",-0.1610346115,-1.23535852,0.458340783749998,0.851262607918051,0.290730511188314,1.58144785371321,0.0297256465567397,0.0104055810224838,0.0563711136780548
"118","CP034325.1_174","nichewastewater",-0.161208363,-0.7531699771,0.347166159,0.851114711863896,0.470871533273621,1.41505182970121,0.0300299187816789,0.016797118835828,0.0492235328993837
"119","CP034325.1_175","nichedomesticatedanimal",-0.175027063,-1.257235549,0.429938743225,0.839434302851295,0.284439268549435,1.53716335900658,0.0327420189504858,0.0113267599987605,0.0612013123801642
"120","NZ_CP142966.1_27","nichewildlife",-0.1758146875,-0.833407121,0.338297086875,0.838773404388621,0.434566141706822,1.40255712282932,0.0188679519275178,0.0097309325996168,0.031922476260624
"121","NZ_CP019353.1_215","nicheBacteria",-0.176187876,-1.25746030075,0.409740931749999,0.838460442443817,0.284375338025921,1.50642746835208,0.0759407876830333,0.0271993824817225,0.132635758823488
"122","NZ_CP146544.1_32","nicheBacteria",-0.1783498875,-1.80025023875,0.59572967575,0.836649639065507,0.165257531255025,1.81435435288747,0.0209459624932569,0.0043092702056448,0.046388841178465
"123","NZ_OP290545.1_1","nichewildlife",-0.1838239985,-0.6537496404,0.20759008,0.832082238695257,0.520091958639237,1.23070857407536,0.058398677112056,0.0371815829460974,0.0853444552042218
"124","AP018569.2_107","nichewildlife",-0.190162468,-0.70383920965,0.2619188273,0.826824790508242,0.494682463844005,1.2994210606618,0.0426155532549273,0.0258347647932802,0.0662821330966528
"125","AM261282.1_29","nichewildlife",-0.1921265015,-0.824148969425,0.28883668506,0.825202472554008,0.438608102695164,1.33487370590676,0.0232124351583856,0.0124685877059406,0.0378592598533409
"126","AP026508.1_104","nichedomesticatedanimal",-0.19548858815,-1.52447733625,0.489506607249999,0.822432728990605,0.21773483816336,1.63151104816951,0.0155690496827982,0.00419000020975213,0.0323995919891977
"127","CP034325.1_175","nicheenvironmental",-0.196315449,-0.7198376314,0.267755774725,0.821752972725491,0.486831295929959,1.30702789181222,0.03244828755745,0.0194203240065006,0.0506230280827899
"128","NZ_CP142966.1_27","nichedomesticatedanimal",-0.20012135115,-1.5315777681,0.46204517675,0.818631405207542,0.216194293650355,1.58731701157226,0.0182415473740919,0.00487915940629664,0.037044855428739
"129","CP057748.1_80","nichedomesticatedanimal",-0.2027991605,-1.12780789625,0.331457740035,0.816442199518471,0.323742155683569,1.39299727701826,0.070977907457287,0.0292201914152468,0.119757041410815
"130","CP034325.1_174","nicheenvironmental",-0.207549422,-0.76672521305,0.2772584135,0.812573081907948,0.46453182436854,1.31950730577943,0.0286583539517686,0.016496605116787,0.045959507221512
"131","NZ_CP019353.1_215","nichewildlife",-0.207907568,-0.6555491854,0.154609142775,0.812282114102482,0.519156870936191,1.16720166273665,0.0740051196919638,0.0481792717922247,0.104827040022747
"132","NZ_MZ513634.1_46","nichefood",-0.208248207,-0.9009845186,0.303216151325,0.812005466260738,0.406169581353471,1.35420714651006,0.0338277562876754,0.0170476061887479,0.0569237309737465
"133","AP019386.1_109","nicheBacteria",-0.216609792,-1.975072744,0.573988485499999,0.805244120758111,0.138751219685531,1.77533384881944,0.018624558372297,0.00328765674221875,0.0423413954791131
"134","NZ_MZ513634.1_46","nichewastewater",-0.2210822365,-0.82365635525,0.29752875885,0.801650752628729,0.438824220532449,1.34652709944897,0.0335187369915874,0.0185404186926307,0.0549466308429802
"135","CP034325.1_175","nichewildlife",-0.24106116,-0.83505023205,0.20091919545,0.785793565867019,0.433852688839291,1.22252598221046,0.0309536668963653,0.0172306293643638,0.0487040792736093
"136","NZ_OP290545.1_1","nichelivestock",-0.246558201,-0.666237702475,0.143197351849999,0.781485877073493,0.513637403863496,1.15395751559554,0.0552432615099826,0.0372741662537958,0.0789192990969527
"137","AM261282.1_29","nichewastewater",-0.2616179405,-0.925835147,0.277563570999999,0.769805078890306,0.396200395947943,1.31991002550538,0.0217545149503111,0.011233817481005,0.0371743325961071
"138","NZ_CP053772.1_89","nichewildlife",-0.271769059,-0.863610120865,0.218214905875,0.76203022484257,0.421637170726076,1.24385435053773,0.0316598356393523,0.0178457223547285,0.0513668985617523
"139","NZ_CP019353.1_215","nicheenvironmental",-0.28215758,-0.7047816155,0.08608869042,0.754154835460285,0.494216491693572,1.089902987974,0.069165417873641,0.0462111409208855,0.0983325531316864
"140","NZ_CP019353.1_215","nichelivestock",-0.2931304845,-0.66869613175,0.0661297646499999,0.74592480272268,0.512376213532555,1.06836534428545,0.0685894979101187,0.0478974161573202,0.0949027779003438
"141","NZ_CP115377.1_59","nichefood",-0.29894002,-1.0849573546,0.24816206175,0.741603889503178,0.337916196925654,1.28166762467525,0.0291715159416816,0.0133411044913513,0.0504919627256063
"142","NZ_OP290545.1_1","nicheenvironmental",-0.2991884845,-0.7738314182,0.108150897825,0.741419650262846,0.461242465987074,1.11421586574673,0.0524610418410142,0.0333721144647623,0.0773217931125799
"143","CP034325.1_174","nichewildlife",-0.3046387575,-0.9654929663975,0.16416997435,0.737389702866304,0.380795435051797,1.17841459833205,0.0260491702016203,0.0136233625618946,0.0418637738229768
"144","NZ_CP146544.1_32","nicheenvironmental",-0.3054039695,-0.973245844,0.312877614249999,0.73682565916915,0.377854588479135,1.3673541775432,0.0187095372961608,0.00966851479178602,0.0338831632355528
"145","AP026508.1_104","nicheplant",-0.33683802695,-4.5143724555,1.5146435895,0.714024484525984,0.0109504763113164,4.54779995815676,0.0137152269692763,0.000208649805549462,0.0825514696144914
